cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi,erro
01001-000,Praça da Sé,lado ímpar,,Sé,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107,
20040-003,Avenida Rio Branco,de 146 ao fim - lado par,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001,
70070-901,SAUS Quadra 4 Bloco D Lote 7,,Justiça Federal,Asa Sul,Brasília,DF,Distrito Federal,Centro-Oeste,5300108,,61,9701,
30130-010,Praça Sete de Setembro,,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123,
80020-030,Travessa Oliveira Bello,,,Centro,Curitiba,PR,Paraná,Sul,4106902,,41,7535,
90010-150,Praça da Alfândega,,,Centro Histórico,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902,,51,8801,
60060-150,Rua Coronel Ferraz,,,Centro,Fortaleza,CE,Ceará,Nordeste,2304400,,85,1389,
40026-010,Largo Terreiro de Jesus,,,Centro Histórico,Salvador,BA,Bahia,Nordeste,2927408,,71,3849,
50030-230,Cais do Apolo,,,Recife,Recife,PE,Pernambuco,Nordeste,2611606,,81,2531,
78005-500,Avenida Tenente-Coronel Duarte,até 790 - lado par,,Centro-Norte,Cuiabá,MT,Mato Grosso,Centro-Oeste,5103403,,65,9067,
69005-040,Rua Miranda Leão,,,Centro,Manaus,AM,Amazonas,Norte,1302603,,92,0255,
57020-590,Rua Marechal Roberto Ferreira,,,Centro,Maceió,AL,Alagoas,Nordeste,2704302,,82,2785,
79002-250,Travessa Ossian Virgílio de Senna,,,Centro,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,5002704,,67,9051,
88015-420,Rua Ferreira Lima,,,Centro,Florianópolis,SC,Santa Catarina,Sul,4205407,,48,8105,
39400-004,Rua Simeão Ribeiro,,,Centro,Montes Claros,MG,Minas Gerais,Sudeste,3143302,,38,4865,
13010-001,Avenida Doutor Moraes Salles,de 702/703 a 1230/1231,,Centro,Campinas,SP,São Paulo,Sudeste,3509502,2446,19,6291,
29015-100,Rua Gama Rosa,,,Centro,Vitória,ES,Espírito Santo,Sudeste,3205309,,27,5705,
,,,,,,,,,,,,,true
77001-002,Praça Girassóis,,,Plano Diretor Norte,Palmas,TO,Tocantins,Norte,1721000,,63,9733,
84010-020,Rua Quinze de Novembro,,,Centro,Ponta Grossa,PR,Paraná,Sul,4119905,,42,7777,
